id,label,template,placeholders,nouns,verbs,verb+noun
120516,attaching ring magnet to fuel tank,Attaching [something] to [something],"['ring magnet', 'fuel tank']","['magnet', 'fuel', 'tank']",['attaching'],attaching magnet
47736,attaching ring magnet to gas cylinder,Attaching [something] to [something],"['ring magnet', 'gas cylinder']","['magnet', 'gas', 'cylinder']",['attaching'],attaching magnet
36258,attaching ring magnet to knife,Attaching [something] to [something],"['ring magnet', 'knife']","['magnet', 'knife']",['attaching'],attaching magnet
53087,attaching magnet to fridge,Attaching [something] to [something],"['magnet', 'fridge']","['magnet', 'fridge']",['attaching'],attaching magnet
171157,attaching ring magnet to non sparking pliers,Attaching [something] to [something],"['ring magnet', 'non sparking pliers']","['magnet', 'plier']",['attaching'],attaching magnet
71758,attaching magnet to fridge,Attaching [something] to [something],"['magnet', 'fridge']","['magnet', 'fridge']",['attaching'],attaching magnet
73129,attaching magnet to tin can,Attaching [something] to [something],"['magnet', 'tin can']","['magnet', 'tin']",['attaching'],attaching magnet
207629,attaching a magnet to a metal fridge,Attaching [something] to [something],"['a magnet', 'a metal fridge']","['magnet', 'metal', 'fridge']",['attaching'],attaching magnet
48640,attaching magnet to fridge,Attaching [something] to [something],"['magnet', 'fridge']","['magnet', 'fridge']",['attaching'],attaching magnet
65329,attaching ring magnet to scissor,Attaching [something] to [something],"['ring magnet', 'scissor']","['magnet', 'scissor']",['attaching'],attaching magnet
193418,attaching ring magnet to hand exercise tool,Attaching [something] to [something],"['ring magnet', 'hand exercise tool']","['magnet', 'hand', 'exercise', 'tool']",['attaching'],attaching magnet
7568,attaching magnet to bero,Attaching [something] to [something],"['magnet', 'bero']","['magnet', 'bero']",['attaching'],attaching magnet
95054,attaching ring magnet to motorcycle engine,Attaching [something] to [something],"['ring magnet', 'motorcycle engine']","['magnet', 'motorcycle', 'engine']",['attaching'],attaching magnet
161299,attaching magnet to metal frame,Attaching [something] to [something],"['magnet', 'metal frame']","['magnet', 'metal', 'frame']",['attaching'],attaching magnet
176024,attaching magnet to fridge,Attaching [something] to [something],"['magnet', 'fridge']","['magnet', 'fridge']",['attaching'],attaching magnet
153979,attaching magnet to tab,Attaching [something] to [something],"['magnet', 'tab']","['magnet', 'tab']",['attaching'],attaching magnet
35703,attaching a magnet to fridge,Attaching [something] to [something],"['a magnet', 'fridge']","['magnet', 'fridge']",['attaching'],attaching magnet
122064,attaching magnet to handle,Attaching [something] to [something],"['magnet', 'handle']","['magnet', 'handle']",['attaching'],attaching magnet
190651,attaching magnet to metal,Attaching [something] to [something],"['magnet', 'metal']","['magnet', 'metal']",['attaching'],attaching magnet
44648,attaching magnet to nailcutter,Attaching [something] to [something],"['magnet', 'nailcutter']","['magnet', 'nailcutter']",['attaching'],attaching magnet
43401,attaching ring magnet to steel table,Attaching [something] to [something],"['ring magnet', 'steel table']","['magnet', 'steel', 'table']",['attaching'],attaching magnet
